"Player","Team","REC","YDS","TDS","FL","FPTS"
"Jody Fortson Jr.","MIAhigh","2.1","19.7","0.2","0.0","5.1"
"","high","2.1","19.7","0.2","0.0","4.9"
"","low","2.1","19.7","0.2","0.0","4.9"
"Tyler Davis","GBhigh","2.0","19.9","0.2","0.0","5.1"
"","high","2.0","19.9","0.2","0.0","5.0"
"","low","2.0","19.9","0.2","0.0","5.0"
"Shane Zylstra","DEThigh","2.0","20.0","0.2","0.0","5.0"
"","high","2.0","20.0","0.2","0.0","5.0"
"","low","2.0","20.0","0.2","0.0","5.0"
"Julian Hill","MIAhigh","2.1","19.2","0.2","0.0","5.0"
"","high","2.1","19.2","0.2","0.0","4.8"
"","low","2.1","19.2","0.2","0.0","4.8"
"Tommy Hudson","NOhigh","2.0","19.5","0.2","0.0","5.0"
"","high","2.0","19.5","0.2","0.0","4.8"
"","low","2.0","19.5","0.2","0.0","4.8"
"Brady Russell","SEAhigh","2.0","19.0","0.2","0.0","4.9"
"","high","2.0","19.0","0.2","0.0","4.7"
"","low","2.0","19.0","0.2","0.0","4.7"
"Zack Kuntz","NYJhigh","1.9","18.2","0.2","0.0","4.7"
"","high","1.9","18.2","0.2","0.0","4.5"
"","low","1.9","18.2","0.2","0.0","4.5"
"Eric Tomlinson","INDhigh","1.8","17.7","0.2","0.0","4.6"
"","high","1.8","17.7","0.2","0.0","4.4"
"","low","1.8","17.7","0.2","0.0","4.4"
"Zach Gentry","LVhigh","1.8","15.8","0.2","0.0","4.4"
"","high","1.8","15.8","0.2","0.0","4.0"
"","low","1.8","15.8","0.2","0.0","4.0"
"Nate Adkins","DENhigh","1.8","15.8","0.2","0.0","4.3"
"","high","1.8","15.8","0.2","0.0","4.0"
"","low","1.8","15.8","0.2","0.0","4.0"
"Rodney Williams","PIThigh","1.7","15.8","0.2","0.0","4.3"
"","high","1.7","15.8","0.2","0.0","4.0"
"","low","1.7","15.8","0.2","0.0","4.0"
"Chris Manhertz","NYGhigh","1.9","16.8","0.1","0.0","4.3"
"","high","1.9","16.8","0.1","0.0","4.1"
"","low","1.9","16.8","0.1","0.0","4.1"
"Mitchell Wilcox","NEhigh","1.8","17.5","0.1","0.0","3.9"
"","high","1.8","17.5","0.1","0.0","4.1"
"","low","1.8","17.5","0.1","0.0","4.1"
"Anthony Firkser","NYJhigh","0.2","2.2","0.0","0.0","0.5"
"","high","0.2","2.2","0.0","0.0","0.5"
"","low","0.2","2.2","0.0","0.0","0.5"
""
""
