"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"","high","1.0","18.0","0.0","70.5","961.0","8.0","0.0","265.8"
"","low","0.0","0.0","0.0","59.0","704.6","4.1","1.0","159.7"
"D'Andre Swift","CHIhigh","RB25","178.2","810.4","5.2","36.6","251.7","1.6","1.0","181.4"
"","high","197.0","921.0","6.0","40.0","271.0","2.0","1.0","221.1"
"","low","151.2","662.3","4.0","31.9","226.1","1.0","1.0","167.5"
"Raheem Mostert","MIAhigh","RB26","168.7","804.1","8.5","25.4","179.2","1.3","1.0","180.4"
"","high","185.0","868.0","11.0","28.7","214.5","2.0","0.9","199.9"
"","low","154.0","720.4","6.4","17.0","108.0","1.0","1.0","169.1"
"Tony Pollard","TENhigh","RB27","197.6","846.5","5.7","34.1","236.6","0.9","0.9","179.9"
"","high","233.0","935.0","7.0","41.0","278.0","1.3","0.8","214.9"
"","low","172.5","729.0","5.0","28.0","190.0","0.0","1.0","168.9"
"Jake Ferguson","DALhigh","TE9","0.0","0.0","0.0","70.7","736.8","5.9","0.4","178.9"
"","high","0.0","0.0","0.0","75.2","773.0","7.0","0.0","237.8"
"","low","0.0","0.0","0.0","65.4","675.0","5.0","1.0","171.0"
"Jaylen Warren","PIThigh","RB28","142.4","677.2","3.9","47.6","323.9","1.7","1.4","178.7"
"","high","164.7","738.4","4.4","54.3","370.4","2.2","1.0","219.3"
"","low","128.7","618.8","3.2","41.0","283.4","1.0","2.0","160.6"
"Rome Odunze","CHIhigh","WR42","1.0","6.4","0.0","62.5","852.4","5.4","1.1","178.6"
"","high","2.1","12.9","0.1","71.0","961.0","6.4","0.4","264.3"
"","low","0.0","0.0","0.0","57.0","786.0","4.0","2.0","161.5"
"David Njoku","CLEhigh","TE10","0.0","0.0","0.0","69.8","772.5","5.5","1.2","177.5"
"","high","0.0","0.0","0.0","75.0","877.0","7.0","0.5","234.9"
"","low","0.0","0.0","0.0","64.1","711.0","5.0","2.0","173.4"
"Ladd McConkey","LAChigh","WR43","1.1","6.7","0.0","66.2","822.2","5.0","1.1","177.2"
"","high","2.2","13.7","0.1","73.5","885.6","6.0","0.0","245.3"
"","low","0.0","0.0","0.0","62.0","762.0","4.4","3.0","170.2"
"Xavier Worthy","KChigh","WR44","3.7","23.2","0.1","57.0","828.7","6.0","0.8","176.8"
"","high","5.7","35.2","0.3","64.0","929.0","6.3","0.0","245.0"
"","low","2.0","11.0","0.0","53.8","761.9","5.4","2.0","172.6"
"Christian Watson","GBhigh","WR45","4.2","24.9","0.3","53.7","780.2","7.0","0.5","176.7"
"","high","6.2","38.2","1.0","58.5","840.6","10.0","0.0","223.8"
"","low","2.0","15.3","0.0","48.0","735.0","5.2","1.0","165.9"
"Brian Thomas Jr.","JAChigh","WR46","0.7","6.0","0.0","63.2","845.3","5.0","1.1","176.3"
"","high","2.0","15.0","0.0","68.6","927.0","5.3","0.4","232.1"
"","low","0.0","0.0","0.0","61.0","784.0","4.8","2.0","173.2"
"Jerry Jeudy","CLEhigh","WR47","0.3","5.3","0.0","61.9","851.0","4.3","0.6","172.5"
"","high","1.0","13.0","0.0","63.3","922.2","5.0","0.0","227.9"
"","low","0.0","0.0","0.0","60.0","767.0","4.0","1.0","167.4"
"Tyler Lockett","SEAhigh","WR48","0.0","1.5","0.0","66.3","760.1","5.2","0.5","172.5"
"","high","0.0","5.0","0.0","68.9","777.0","6.0","0.0","235.6"
"","low","0.0","0.0","0.0","64.0","732.9","4.2","1.0","167.2"
"Devin Singletary","NYGhigh","RB29","196.5","847.3","5.0","33.0","212.8","0.7","1.0","171.0"
"","high","216.4","915.6","6.2","39.0","268.0","1.0","0.9","214.9"
"","low","184.6","759.0","4.0","26.7","161.3","0.0","1.0","148.0"
"Brian Robinson Jr.","WAShigh","RB30","185.4","776.2","5.3","28.8","241.2","1.8","1.5","170.2"
"","high","204.0","841.6","6.0","34.9","292.0","4.0","1.0","192.9"
"","low","162.4","683.2","4.6","23.9","184.0","0.9","2.0","148.4"
"Austin Ekeler","WAShigh","RB31","126.6","524.0","4.2","46.3","366.8","2.0","1.7","169.1"
"","high","137.0","575.6","7.0","51.2","433.1","2.1","1.0","210.9"
"","low","117.0","455.0","3.0","39.0","325.0","2.0","3.0","160.3"
"Jameson Williams","DEThigh","WR49","4.5","42.2","0.7","55.2","775.5","4.8","0.6","169.1"
"","high","7.0","71.0","2.0","63.2","829.3","6.0","0.0","224.6"
"","low","2.3","13.4","0.0","48.0","717.0","4.0","1.0","163.0"
"Marquise Brown","KChigh","WR50","1.2","10.3","0.0","56.7","755.1","6.1","0.4","169.0"
"","high","2.0","17.0","0.1","62.9","822.0","8.0","0.0","227.3"
