"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Michael Carter","ARIhigh","0.0","111.0","1.0","10.0","69.0","0.0","0.0","34.0"
"","high","0.0","111.0","1.0","10.0","69.0","0.0","0.0","44.0"
"","low","0.0","111.0","1.0","10.0","69.0","0.0","0.0","44.0"
"Tyler Goodson","INDhigh","25.1","130.9","0.9","7.5","54.4","0.4","0.1","33.2"
"","high","48.0","205.5","1.5","16.0","120.0","1.0","0.0","65.6"
"","low","2.4","9.9","0.0","2.0","13.4","0.0","0.2","10.6"
"Jase McClellan","ATLhigh","31.2","129.1","1.0","5.4","43.7","0.4","0.0","30.9"
"","high","34.0","151.0","1.0","10.0","75.0","1.0","0.0","46.7"
"","low","28.4","118.0","0.9","2.0","26.0","0.0","0.1","18.4"
"Ameer Abdullah","LVhigh","26.8","102.5","0.2","10.7","78.4","0.1","0.0","30.8"
"","high","47.0","223.0","0.6","17.0","125.0","0.4","0.0","36.5"
"","low","9.4","38.0","0.0","3.7","26.3","0.0","0.1","19.4"
"JaMycal Hasty","NEhigh","22.1","99.5","0.7","8.9","59.1","0.1","0.1","29.7"
"","high","29.4","127.0","1.0","11.7","78.7","0.4","0.0","45.0"
"","low","9.1","36.5","0.2","3.9","27.7","0.0","0.2","17.0"
"Rasheen Ali","BALhigh","26.4","149.1","1.2","3.9","31.0","0.1","0.0","29.1"
"","high","36.0","196.0","2.0","6.0","44.0","0.2","0.0","39.9"
"","low","16.7","70.2","0.5","2.0","23.0","0.0","0.1","17.3"
"Kevin Harris","NEhigh","4.5","134.1","1.1","5.0","36.6","0.0","0.0","28.3"
"","high","4.5","250.0","2.0","8.0","58.0","0.0","0.0","55.8"
"","low","4.5","18.1","0.1","1.9","15.1","0.0","0.0","9.2"
"Jeremy McNichols","WAShigh","18.4","72.5","0.2","9.2","69.5","0.4","0.0","26.4"
"","high","27.2","115.4","0.6","14.0","115.0","1.0","0.0","34.8"
"","low","2.1","8.5","0.0","2.1","14.6","0.0","0.1","12.3"
"Trayveon Williams","CINhigh","41.6","111.4","0.7","6.1","39.8","0.1","0.1","25.9"
"","high","41.6","181.8","1.4","9.2","59.6","0.3","0.0","41.3"
"","low","41.6","41.0","0.0","3.0","20.0","0.0","0.2","15.2"
"Jawhar Jordan","HOUhigh","0.0","121.0","1.0","4.0","27.0","0.0","0.0","24.8"
"","high","0.0","121.0","1.0","4.0","27.0","0.0","0.0","28.8"
"","low","0.0","121.0","1.0","4.0","27.0","0.0","0.0","28.8"
"Ronnie Rivers","LARhigh","29.7","116.7","0.8","4.6","33.3","0.1","0.0","24.7"
"","high","52.0","208.0","1.0","8.0","62.0","0.2","0.0","27.7"
"","low","9.2","37.0","0.3","2.0","15.0","0.0","0.1","11.9"
"D'Ernest Johnson","JAChigh","31.8","113.9","0.5","5.5","39.2","0.1","0.1","24.4"
"","high","54.5","241.4","1.3","8.9","62.5","0.2","0.0","44.7"
"","low","9.1","37.5","0.0","3.0","23.0","0.0","0.2","14.8"
"Deneric Prince","MIAhigh","0.0","113.0","1.0","4.0","29.0","0.0","0.0","24.2"
"","high","0.0","113.0","1.0","4.0","29.0","0.0","0.0","28.2"
"","low","0.0","113.0","1.0","4.0","29.0","0.0","0.0","28.2"
"Carson Steele","KChigh","14.8","101.3","0.9","4.6","35.2","0.1","0.0","23.9"
"","high","29.0","213.0","2.0","11.0","83.0","0.2","0.0","57.2"
"","low","4.5","19.0","0.2","2.2","14.6","0.0","0.1","9.2"
"Craig Reynolds","DEThigh","21.6","102.6","0.8","4.1","33.3","0.1","0.1","22.7"
"","high","33.0","138.0","1.1","6.1","47.2","0.2","0.0","34.4"
"","low","2.3","9.5","0.0","2.0","17.1","0.0","0.2","7.7"
"Dare Ogunbowale","HOUhigh","16.7","56.9","0.4","7.3","54.7","0.1","0.0","21.3"
"","high","28.0","92.0","1.0","12.0","88.0","0.3","0.0","32.7"
"","low","2.2","8.6","0.0","2.1","16.3","0.0","0.1","10.8"
"Kenny McIntosh","SEAhigh","26.9","89.4","0.6","4.1","32.2","0.1","0.1","20.4"
"","high","27.8","116.1","1.0","8.2","57.5","0.3","0.0","28.3"
"","low","26.0","50.0","0.0","2.0","15.0","0.0","0.2","12.6"
"Blake Watson","DENhigh","14.6","84.1","0.7","4.0","28.6","0.1","0.0","19.9"
"","high","14.6","108.0","1.0","4.0","29.0","0.1","0.0","27.7"
"","low","14.6","60.3","0.4","4.0","28.3","0.0","0.1","16.1"
"Hunter Luepke","DALhigh","7.4","26.2","1.4","4.0","27.1","0.2","0.0","18.9"
"","high","11.0","33.0","4.0","4.7","33.3","0.3","0.0","30.0"
"","low","4.2","18.0","0.1","3.0","17.0","0.0","0.0","11.1"
"Jeff Wilson Jr.","MIAhigh","15.0","80.2","0.6","3.2","23.6","0.1","0.0","17.9"
"","high","29.0","144.0","1.0","4.0","29.3","0.2","0.0","26.7"
"","low","4.4","19.0","0.2","2.1","15.2","0.0","0.1","8.0"
"Julius Chestnut","TENhigh","20.7","74.0","0.5","3.9","31.4","0.1","0.1","17.7"
"","high","30.9","130.0","1.0","8.7","60.9","0.3","0.0","30.1"
"","low","2.3","9.1","0.0","1.9","14.5","0.0","0.2","7.1"
"Sean Tucker","TBhigh","25.5","80.6","0.6","2.8","21.4","0.1","0.1","17.0"
"","high","37.0","157.9","1.1","4.2","29.5","0.2","0.0","29.0"
"","low","11.4","33.0","0.0","1.0","10.0","0.0","0.2","9.9"
